기업명,종목코드,신규상장일,시초가(원),첫날종가(원),첫날상승
해성티피씨,059270,2021-04-21,26000.0,33800.0,1
이삭엔지니어링,351330,2021-04-21,23000.0,26150.0,1
엔시스,333620,2021-04-01,38000.0,31400.0,0
자이언트스텝,289220,2021-03-24,22000.0,28600.0,1
제노코,361390,2021-03-24,65000.0,80100.0,1
라이프시맨틱스,347700,2021-03-23,25000.0,17500.0,0
SK바이오사이언스(유가),302440,2021-03-18,130000.0,169000.0,1
바이오다인,314930,2021-03-17,40000.0,42600.0,1
네오이뮨텍,950220,2021-03-16,15000.0,14350.0,0
프레스티지바이오로직스,334970,2021-03-11,12100.0,14300.0,1
싸이버원,356890,2021-03-11,18000.0,21200.0,1
나노씨엠에스,247660,2021-03-09,33000.0,23950.0,0
뷰노,338220,2021-02-26,32900.0,32150.0,0
유일에너테크,340930,2021-02-25,32000.0,34500.0,1
씨이랩,189330,2021-02-24,46600.0,40800.0,0
오로스테크놀로지,322310,2021-02-24,42000.0,54600.0,1
피엔에이치테크,239890,2021-02-16,20500.0,23850.0,1
프레스티지바이오파마(유가),950210,2021-02-05,28800.0,32800.0,1
아이퀘스트,262840,2021-02-05,22000.0,20000.0,0
와이더플래닛,321820,2021-02-03,24900.0,20000.0,0
레인보우로보틱스,277810,2021-02-03,20000.0,26000.0,1
솔루엠(유가),248070,2021-02-02,34000.0,29150.0,0
핑거,163730,2021-01-29,32000.0,29100.0,0
씨앤투스성진,352700,2021-01-28,31700.0,28700.0,0
모비릭스,348030,2021-01-28,28000.0,36400.0,1
선진뷰티사이언스,086710,2021-01-27,23000.0,29900.0,1
엔비티,236810,2021-01-21,38000.0,36500.0,0
지놈앤컴퍼니,314130,2020-12-23,80000.0,68800.0,0
석경에이티,357550,2020-12-23,20000.0,26000.0,1
프리시젼바이오,335810,2020-12-22,25000.0,32500.0,1
알체라,347860,2020-12-21,20000.0,26000.0,1
에프앤가이드,064850,2020-12-17,14000.0,12850.0,0
티엘비,356860,2020-12-14,75900.0,54500.0,0
인바이오,352940,2020-12-11,11600.0,12200.0,1
엔젠바이오,354200,2020-12-10,28000.0,25650.0,0
퀀타매트릭스,317690,2020-12-09,25050.0,24100.0,0
명신산업(유가),009900,2020-12-07,13000.0,16900.0,1
클리노믹스,352770,2020-12-04,18500.0,19000.0,1
포인트모바일,318020,2020-12-03,30000.0,30550.0,1
엔에프씨,265740,2020-12-02,20700.0,16950.0,0
앱코,129890,2020-12-02,30150.0,28900.0,0
제일전기공업,199820,2020-11-26,34000.0,28650.0,0
하나기술,299030,2020-11-25,70000.0,91000.0,1
티앤엘,340570,2020-11-20,72000.0,54000.0,0
에이플러스에셋어드바이저(유가),244920,2020-11-20,8100.0,6880.0,0
고바이오랩,348150,2020-11-18,30000.0,31300.0,1
네패스아크,330860,2020-11-17,36200.0,38700.0,1
교촌에프앤비(유가),339770,2020-11-12,23850.0,31000.0,1
소룩스,290690,2020-11-06,20000.0,26000.0,1
위드텍,348350,2020-10-30,37100.0,41100.0,1
센코,347000,2020-10-29,13350.0,15250.0,1
바이브컴퍼니,301300,2020-10-28,40000.0,31300.0,0
미코바이오메드,214610,2020-10-22,16100.0,13700.0,0
피플바이오,304840,2020-10-19,18000.0,23400.0,1
빅히트(유가),352820,2020-10-15,270000.0,258000.0,0
넥스틴,348210,2020-10-08,71100.0,71600.0,1
원방테크,053080,2020-09-24,48900.0,43700.0,0
비나텍,126340,2020-09-23,44000.0,40750.0,0
박셀바이오,323990,2020-09-22,27000.0,21300.0,0
비비씨,318410,2020-09-21,27650.0,22300.0,0
핌스,347770,2020-09-18,21000.0,18300.0,0
압타머사이언스,291650,2020-09-16,28850.0,27750.0,0
이오플로우,294090,2020-09-14,21750.0,20000.0,0
카카오게임즈,293490,2020-09-10,48000.0,62400.0,1
피엔케이피부임상연구센타,347740,2020-09-09,28000.0,26800.0,0
아이디피,332370,2020-08-24,13200.0,12500.0,0
셀레믹스,331920,2020-08-21,24900.0,25800.0,1
미투젠,950190,2020-08-18,29100.0,25500.0,0
브랜드엑스코퍼레이션,337930,2020-08-13,12900.0,11700.0,0
영림원소프트랩,060850,2020-08-12,17600.0,13650.0,0
한국파마,032300,2020-08-10,18000.0,16850.0,0
이루다,164060,2020-08-06,18000.0,17650.0,0
와이팜,332570,2020-07-31,15550.0,18800.0,1
이엔드디,101360,2020-07-30,18200.0,21000.0,1
엠투아이,347890,2020-07-29,18850.0,15900.0,0
더네이쳐홀딩스,298540,2020-07-27,41400.0,43000.0,1
제놀루션,225220,2020-07-24,28000.0,24750.0,0
솔트룩스,304100,2020-07-23,40000.0,34300.0,0
티에스아이,277880,2020-07-22,20000.0,17200.0,0
에이프로,262260,2020-07-16,43200.0,56100.0,1
소마젠,950200,2020-07-13,11650.0,15100.0,1
신도기연,290520,2020-07-06,32000.0,22400.0,0
위더스제약,330350,2020-07-03,31800.0,34400.0,1
SK바이오팜(유가),326030,2020-07-02,98000.0,127000.0,1
마크로밀엠브레인,169330,2020-07-01,13600.0,16050.0,1
젠큐릭스,229000,2020-06-25,25100.0,21650.0,0
엘이티,297890,2020-06-22,15600.0,20250.0,1
에스씨엠생명과학,298060,2020-06-17,29500.0,36100.0,1
드림씨아이에스,223250,2020-05-22,28000.0,30500.0,1
엔피디,198080,2020-03-16,4860.0,3775.0,0
플레이디,237820,2020-03-12,11250.0,8800.0,0
서울바이오시스,092190,2020-03-06,13000.0,11100.0,0
제이앤티씨,204270,2020-03-04,10200.0,10350.0,1
켄코아에어로스페이스,274090,2020-03-03,11500.0,10250.0,0
레몬,294140,2020-02-28,8620.0,10400.0,1
서남,294630,2020-02-20,3900.0,4750.0,1
위세아이텍,065370,2020-02-10,13900.0,12400.0,0
